StartDate,EndDate,ResponseId,Q4,Q5,Q5_24_TEXT,Q7,Q51,Q9,Q10,Q37,Q38,Q39,Q42,Q42_15_TEXT,Q31,Q44,Q46,Q48,Q23,Q24,Q25
2023-09-15 11:20:36,2023-09-15 11:24:13,R_zdRiIOx6oTypqaR,Somewhat,Photography,,Yes,No,None of the above,No,Neutral,Neutral,Neutral,I would not feel comfortable with any of the options listed above,,,Strongly agree,Agree,Neutral,65 or older,No,Male
2023-09-15 11:18:21,2023-09-15 11:24:22,R_dcyQJ6wuAADV5WV,Somewhat,"Photography,Craft,Writing ",,Yes,No,AI art generally,No,Strongly agree,Disagree,Agree,"A flat fee,A flat fee from the model creators, for the use of my artwork as training data,A flat fee For each derivative work sold (by anyone using the model)",,,Agree,Agree,Disagree,65 or older,No,Female
2023-09-15 11:17:25,2023-09-15 11:25:58,R_1nUYeAdWw3fYj5y,Somewhat,"Paint,Drawing,Craft,Writing ,Music ,Performance ",,Yes,No,None of the above,No,Disagree,Agree,Neutral,"A portion of any profit made,A portion of any profit made From the model creators,A portion of any profit from people who profit from derivative works made using the model",,,Strongly agree,Neutral,Neutral,65 or older,No,Female
2023-09-15 11:24:49,2023-09-15 11:26:49,R_3ktdBXct7eOOd1s,Yes,"Photography,Designer ",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Large Language Models,Text-to-image models",Yes,Strongly agree,Strongly agree,Strongly agree,A portion of any profit from people who profit from derivative works made using the model,,,Strongly agree,Strongly agree,Strongly agree,18 - 29,No,Male
2023-09-15 11:25:33,2023-09-15 11:28:50,R_2XpWRwvKwxwvIPg,Somewhat,Writing,,Yes,No,"AI art generally,Text-to-image models",No,Agree,Disagree,Disagree,I would donate the use of my artwork to train AI art models (no compensation),,,Agree,Neutral,Neutral,30-49,No,Female
2023-09-15 11:29:38,2023-09-15 11:31:46,R_VWrmhbOO5SLeXrb,Yes,"Paint,Drawing,Tattoo,Graphic design ,Designer ",,Yes,Yes,"Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",Yes,Agree,Strongly agree,Neutral,"I don't need to profit,I don’t need to profit, but I don’t want anyone else to profit from my art,A portion of any profit from people who profit from derivative works made using the model,Companies and individuals should be subject to a new tax by the government if they profit from AI art trained on other people’s work",,They should support one another,Agree,Neutral,Agree,18 - 29,Yes,Male
2023-09-15 11:33:32,2023-09-15 11:36:03,R_2TRV2NUgNdH69Ly,Yes,"Photography,Paint,Drawing,Illustration ,Sculpture ,Craft,Writing ",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Large Language Models,Text-to-image models",Yes,Agree,Disagree,Disagree,"I don’t need to profit, but I don’t want anyone else to profit from my art",,,Disagree,Agree,Agree,30-49,No,Non-binary
2023-09-15 11:34:05,2023-09-15 11:37:02,R_1q4WKgRpIZbzxst,Somewhat,"Photography,Paint,Drawing,Graphic design ",,Yes,No,AI art generally,No,Strongly disagree,Strongly agree,Strongly disagree,I would not feel comfortable with any of the options listed above,,,Strongly agree,Strongly disagree,Strongly agree,30-49,No,Male
2023-09-15 11:33:23,2023-09-15 11:37:24,R_265OtoB7Z1Zf8wp,Somewhat,"Photography,Paint,Drawing,Tattoo,Illustration ,Craft,Jewelry ,Music ",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Large Language Models",Yes,Neutral,Disagree,Agree,A portion of any profit made,,,Neutral,Strongly agree,Strongly disagree,18 - 29,No,Female
2023-09-15 11:33:48,2023-09-15 11:38:16,R_2w6IYVZ3crC9pH4,Somewhat,"Photography,Paint,Drawing,Craft,Jewelry ,Writing ,Music ",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Text-to-image models",No,Strongly disagree,Strongly disagree,Strongly disagree,I don't need to profit,,,Strongly agree,Strongly disagree,Strongly agree,18 - 29,No,Female
2023-09-15 11:37:42,2023-09-15 11:40:15,R_ddp8UT7HscaukLv,Yes,"Photography,Paint,Drawing,Graphic design ,Illustration ,Textile ,Cinematography ,Maker,Designer ,Architecture,Writing ,Performance ",,Yes,Yes,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Large Language Models,Text-to-image models",Yes,Agree,Agree,Agree,"I would donate the use of my artwork to train AI art models (no compensation),A portion of any profit made,A portion of any profit made From the model creators,A portion of any profit from people who profit from derivative works made using the model",,,Agree,Agree,Agree,30-49,No,Female
2023-09-15 11:36:35,2023-09-15 11:43:41,R_1kHNgbIp7sChfbN,Somewhat,"Photography,Drawing,Craft,Writing ",,No,No,None of the above,No,Strongly agree,Strongly agree,Strongly agree,"A portion of any profit made From the model creators,A portion of any profit from people who profit from derivative works made using the model",,,Strongly agree,Strongly agree,Disagree,30-49,No,Female
2023-09-15 11:29:22,2023-09-15 11:45:41,R_2CQzq5S5m3DHCs2,Somewhat,"Paint,Jewelry ,Writing ,Music ",,Yes,No,AI art generally,No,Neutral,Disagree,Neutral,I would donate the use of my artwork to train AI art models (no compensation),,,Agree,Agree,Agree,50-64,No,Female
2023-09-15 11:42:51,2023-09-15 11:48:15,R_2qjzq7n8wXmdc0g,Somewhat,Paint,,Yes,No,"Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",No,Disagree,Disagree,Agree,A flat fee For each derivative work sold (by anyone using the model),,,Agree,Agree,Disagree,30-49,Yes,Male
2023-09-15 12:07:46,2023-09-15 12:10:02,R_yWOAo3PaSnNZB0B,Yes,"Photography,Paint,Graphic design ,Illustration ,Writing ,Music ",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",Yes,Agree,Agree,Strongly agree,"I don't need to profit,I don’t need to profit, but I don’t want anyone else to profit from my art,A portion of any profit made,A portion of any profit from people who profit from derivative works made using the model,A flat fee For each derivative work sold (by anyone using the model),I would not feel comfortable with any of the options listed above",,,Agree,Agree,Disagree,30-49,No,Male
2023-09-15 12:14:12,2023-09-15 12:15:54,R_2cCUSZfCODpyCkU,Yes,"Photography,Tattoo",,Yes,Yes,"Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",No,Strongly agree,Strongly agree,Strongly agree,"A portion of any profit made From the model creators,A flat fee For each derivative work sold (by anyone using the model)",,,Strongly agree,Strongly agree,Strongly agree,18 - 29,No,Male
2023-09-15 12:13:40,2023-09-15 12:16:39,R_10veEwN4kiiFdKi,Somewhat,"Photography,Paint,Drawing,Craft",,Yes,No,None of the above,Yes,Agree,Neutral,Agree,"I don’t need to profit, but I don't want for-profit-companies to profit from my art,A portion of any profit made From the model creators,A flat fee For each derivative work sold (by anyone using the model)",,,Agree,Neutral,Agree,30-49,No,Female
2023-09-15 12:15:12,2023-09-15 12:16:50,R_VVAiX1kp6qpDSHD,Yes,"Photography,Paint,Drawing",,Yes,Yes,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Large Language Models,Text-to-image models",Yes,Strongly agree,Strongly agree,Strongly agree,"I would donate the use of my artwork to train AI art models (no compensation),A flat fee from the model creators, for the use of my artwork as training data,Companies and individuals should be subject to a new tax by the government if they profit from AI art trained on other people’s work",,It should support artists,Strongly agree,Strongly agree,Strongly agree,30-49,Yes,Male
2023-09-15 12:15:22,2023-09-15 12:18:04,R_Z4Y1sgoQ56UhoUp,Yes,"Photography,Craft,Music ",,Yes,Yes,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",Yes,Agree,Strongly agree,Agree,"I would donate the use of my artwork to train AI art models (no compensation),A portion of any profit made,A flat fee,A flat fee For each derivative work sold (by anyone using the model)",,,Agree,Agree,Strongly agree,30-49,Yes,Male
2023-09-15 12:19:04,2023-09-15 12:20:50,R_ypAWoa52yiZNlf3,Yes,"Photography,Music ",,Yes,No,None of the above,None of the above,Strongly agree,Strongly agree,Strongly agree,"I would donate the use of my artwork to train AI art models (no compensation),I would not feel comfortable with any of the options listed above",,,Strongly agree,Strongly agree,Strongly agree,18 - 29,No,Female
2023-09-15 12:14:01,2023-09-15 12:21:04,R_3kmLZT3PANOlzGn,Somewhat,"Photography,Drawing,Writing ",,Yes,No,AI art generally,No,Disagree,Disagree,Disagree,"A portion of any profit made,A portion of any profit made From the model creators,A portion of any profit from people who profit from derivative works made using the model,A flat fee,A flat fee from the model creators, for the use of my artwork as training data,A flat fee For each derivative work sold (by anyone using the model)",,,Strongly agree,Disagree,Strongly agree,50-64,No,Male
2023-09-15 12:11:01,2023-09-15 12:21:28,R_2cjvC6UgtWaq2FP,Somewhat,Photography,,Yes,No,"Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",Yes,Agree,Neutral,Neutral,"I don’t need to profit, but I don't want for-profit-companies to profit from my art,A flat fee For each derivative work sold (by anyone using the model)",,,Agree,Neutral,Neutral,30-49,No,Male
2023-09-15 12:18:49,2023-09-15 12:21:41,R_3hhzi20I5Fa3XN3,Somewhat,"Photography,Drawing",,Yes,No,None of the above,No,Strongly agree,Strongly agree,Strongly agree,I would donate the use of my artwork to train AI art models (no compensation),,,Strongly agree,Strongly agree,Agree,30-49,No,Male
2023-09-15 12:14:19,2023-09-15 12:22:21,R_30o8GljnZHLtUFL,Somewhat,"Photography,Drawing",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Text-to-image models",No,Disagree,Neutral,Strongly disagree,"A portion of any profit made,A portion of any profit made From the model creators,A portion of any profit from people who profit from derivative works made using the model,A flat fee,A flat fee For each derivative work sold (by anyone using the model)",,,Strongly agree,Disagree,Strongly agree,18 - 29,Yes,Male
2023-09-15 12:20:44,2023-09-15 12:23:40,R_1k1yJReaCSneYT0,Yes,"Photography,Paint,Tattoo",,Yes,No,"AI art generally,Large Language Models,Text-to-image models",Yes,Strongly agree,Strongly agree,Strongly agree,"I would donate the use of my artwork to train AI art models (no compensation),I don't need to profit",,,Strongly agree,Strongly agree,Strongly agree,50-64,Yes,Male
2023-09-15 12:22:29,2023-09-15 12:24:41,R_3Rqrt6BSZJ4Jvct,Somewhat,"Photography,Writing ",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",No,Disagree,Disagree,Agree,"A portion of any profit made,A portion of any profit from people who profit from derivative works made using the model",,,Disagree,Agree,Agree,30-49,Yes,Female
2023-09-15 12:24:02,2023-09-15 12:26:09,R_1nUdGrvQcz8NFDy,Yes,"Photography,Paint,Drawing,Tattoo,Graphic design ,Illustration ,Textile ,Designer ",,Yes,Yes,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",No,Strongly disagree,Disagree,Strongly disagree,I would not feel comfortable with any of the options listed above,,,Strongly agree,Neutral,Agree,30-49,No,Male
2023-09-15 12:22:40,2023-09-15 12:26:28,R_2flMn0gNsZEP9qA,Yes,"Paint,Drawing",,Yes,Yes,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",Yes,Strongly agree,Agree,Strongly agree,"I don’t need to profit, but I don't want for-profit-companies to profit from my art,A portion of any profit made,A flat fee For each derivative work sold (by anyone using the model)",,,Agree,Strongly agree,Agree,18 - 29,No,Male
2023-09-15 12:22:38,2023-09-15 12:26:51,R_1PbhNqn7TaeleTv,Somewhat,"Photography,Designer ",,No,No,"AI art generally,Large Language Models",No,Agree,Agree,Neutral,I would donate the use of my artwork to train AI art models (no compensation),,,Agree,Agree,Neutral,30-49,No,Male
2023-09-15 12:23:00,2023-09-15 12:27:55,R_O3eNNhUMMcFZQDn,Somewhat,Photography,,No,No,"Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",No,Agree,Agree,Agree,"A portion of any profit made,A flat fee,A flat fee from the model creators, for the use of my artwork as training data",,,Agree,Agree,Agree,30-49,Yes,Male
2023-09-15 12:27:40,2023-09-15 12:29:24,R_3IaSrJFybiqPbbE,Yes,"Photography,Paint,Drawing",,Yes,Yes,"AI art generally,Large Language Models",Yes,Agree,Strongly agree,Neutral,"I would donate the use of my artwork to train AI art models (no compensation),I don’t need to profit, but I don't want for-profit-companies to profit from my art,A flat fee,A flat fee from the model creators, for the use of my artwork as training data",,,Agree,Strongly agree,Agree,18 - 29,Yes,Male
2023-09-15 12:26:43,2023-09-15 12:30:34,R_1Ckn4aHhIkZVeUW,Somewhat,"Photography,Drawing,Designer ,Other, please specify",woodworking,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Large Language Models,Text-to-image models",No,Strongly disagree,Strongly disagree,Strongly disagree,A portion of any profit made,,,Strongly agree,Strongly disagree,Strongly agree,65 or older,No,Male
2023-09-15 12:25:53,2023-09-15 12:30:41,R_3nBetBArhkoiZLF,Somewhat,"Paint,Drawing,Jewelry ",,Yes,No,Text-to-image models,Yes,Agree,Agree,Disagree,A portion of any profit made,,,Agree,Disagree,Agree,30-49,Yes,Male
2023-09-15 12:25:21,2023-09-15 12:31:15,R_1I4t9KGjk94pf8m,Yes,"Photography,Paint,Drawing,Graphic design ,Architecture,Music ",,Yes,No,None of the above,No,Agree,Disagree,Neutral,A portion of any profit made,,,Agree,Agree,Disagree,18 - 29,No,Male
2023-09-15 12:24:50,2023-09-15 12:31:51,R_3KMJzCrlM6qEXHo,Yes,"Photography,Tattoo,Graphic design ,Writing ,Music ",,Yes,Yes,"AI art generally,Text-to-image models",No,Disagree,Disagree,Neutral,"A portion of any profit made,A flat fee,A flat fee For each derivative work sold (by anyone using the model),Companies and individuals should be subject to a new tax by the government if they profit from AI art trained on other people’s work",,They should support the artists - and / or fund art-related programs,Strongly agree,Neutral,Agree,30-49,Yes,Male
2023-09-15 12:27:50,2023-09-15 12:32:19,R_30uvwMr7GPgL4xT,Somewhat,"Paint,Music ",,Yes,No,"Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Text-to-image models",No,Disagree,Neutral,Neutral,A portion of any profit made,,,Agree,Agree,Strongly agree,30-49,Yes,Male
2023-09-15 12:29:42,2023-09-15 12:32:26,R_3249R6t9gbr6nHU,Yes,Music,,No,No,AI art generally,No,Disagree,Disagree,Disagree,A portion of any profit made,,,Agree,Neutral,Neutral,18 - 29,No,Male
2023-09-15 12:29:40,2023-09-15 12:32:27,R_dnEvPfKS1c8slfH,Somewhat,"Photography,Illustration ,Writing ",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Text-to-image models",Yes,Agree,Strongly agree,Agree,"I would donate the use of my artwork to train AI art models (no compensation),A portion of any profit made,A portion of any profit made From the model creators",,,Agree,Agree,Agree,30-49,No,Male
2023-09-15 12:26:57,2023-09-15 12:32:55,R_1hWoiDeIvbKGx4y,Somewhat,"Photography,Graphic design ,Architecture",,Yes,No,"Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",No,Strongly agree,Strongly agree,Disagree,"I don’t need to profit, but I don't want for-profit-companies to profit from my art",,,Disagree,Agree,Strongly agree,65 or older,No,Male
2023-09-15 12:30:40,2023-09-15 12:32:58,R_sTZfapfgtK6GSgV,Somewhat,"Photography,Writing ,Music ",,Yes,No,"AI art generally,Text-to-image models",No,Agree,Disagree,Agree,"I don’t need to profit, but I don't want for-profit-companies to profit from my art",,,Strongly agree,Neutral,Agree,30-49,No,Male
2023-09-15 12:29:16,2023-09-15 12:33:53,R_UWjASnWjsO8H1xn,Yes,"Photography,Paint,Drawing,Tattoo,Craft,Maker,Designer ,Jewelry ,Music ",,Yes,Yes,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",Yes,Strongly agree,Strongly agree,Neutral,I would donate the use of my artwork to train AI art models (no compensation),,,Strongly agree,Strongly agree,,50-64,Yes,Male
2023-09-15 12:31:46,2023-09-15 12:34:13,R_1CqZPoWWh3U07mO,Yes,Drawing,,No,No,None of the above,Yes,Neutral,Neutral,Neutral,I don't need to profit,,,Neutral,Neutral,Neutral,30-49,No,Male
2023-09-15 12:31:37,2023-09-15 12:34:15,R_2trpXpV3fCrVjWx,Somewhat,"Photography,Drawing,Illustration ,Designer ,Architecture",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Large Language Models",Yes,Agree,Agree,Agree,"I would donate the use of my artwork to train AI art models (no compensation),I don't need to profit,I don’t need to profit, but I don't want for-profit-companies to profit from my art,I don’t need to profit, but I don’t want anyone else to profit from my art,A flat fee from the model creators, for the use of my artwork as training data,Companies and individuals should be subject to a new tax by the government if they profit from AI art trained on other people’s work",,Yes,Agree,Agree,Strongly agree,30-49,Yes,Male
2023-09-15 12:31:24,2023-09-15 12:34:43,R_tKdN4tFpXNePMGJ,Yes,"Photography,Music ",,Yes,No,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs)",Yes,Strongly agree,Strongly agree,Strongly agree,I don't need to profit,,,Strongly agree,Strongly agree,Strongly agree,30-49,No,Male
2023-09-15 12:25:42,2023-09-15 12:35:13,R_3NWyK309V0yBuoa,Yes,"Paint,Drawing,Graphic design ,Illustration ,Designer ",,Yes,Yes,"AI art generally,Artificial intelligence or deep learning algorithms, such as generative adversarial networks (GANs),Large Language Models,Text-to-image models",Yes,Strongly agree,Strongly agree,Strongly agree,"I would donate the use of my artwork to train AI art models (no compensation),A portion of any profit made,A portion of any profit made From the model creators,A portion of any profit from people who profit from derivative works made using the model,A flat fee,A flat fee from the model creators, for the use of my artwork as training data,A flat fee For each derivative work sold (by anyone using the model),Companies and individuals should be subject to a new tax by the government if they profit from AI art trained on other people’s work",,Rhey should support the artist,Strongly agree,Strongly agree,Strongly disagree,30-49,Yes,Male
